dataset_name,kmeans-DBA-DTW,kmeans-ED,kmeas-ShapeDBA-ShapeDTW,kmeas-SoftDBA-SoftDTW,KShape
FiftyWords,0.4293335460800426,0.25661552693753026,0.4299385852702732,0.3594134090464039,0.3560419724017857
Fish,0.3254938500459358,0.19306994474162095,0.356457403627514,0.3476221794021358,0.2015382106024139
FordA,0.0021495584136193803,-6.20082629468489e-05,0.0009929335566578,0.0029671715100477634,0.13625145179549625
FordB,0.002678375749816418,-0.00013189934279087887,0.08371052858747155,0.014246767356635374,0.03051241376468546
FreezerRegularTrain,0.2660147498196897,0.28763216279734694,0.2701594772714666,0.2625813025836825,0.27211572045435717
FreezerSmallTrain,0.2677838747125874,0.28816680089968455,0.271394276859895,0.2656251581837978,0.2519995422935216
Fungi,0.8154073775045421,0.7142580316076598,1.0,0.9045126671928028,1.0
GestureMidAirD1,0.32482697604700245,0.27752089465774954,0.35214480584593166,0.26236783630207716,0.27830390384078896
GestureMidAirD2,0.3912555894535647,0.30665334697685603,0.39205269489068195,0.375449259249267,0.32594666706015263
GestureMidAirD3,0.15937473247224349,0.14806700396551148,0.15898154326512717,0.12482046089476144,0.1141556251573366
GesturePebbleZ1,0.31935199883106974,0.3237516412630629,0.5101388520562735,0.24067514590040923,0.3347176673385017
GesturePebbleZ2,0.3180305483931415,0.29955040267141136,0.40476589602588187,0.23678883760706385,0.34599465963888465
GunPoint,-0.004502925156730501,-0.0050505050505049,-0.0030686505626646198,-0.0030259323656166596,-0.003955548488166008
GunPointAgeSpan,0.00017272459058743326,0.2592313819544013,0.06571833228565019,0.04189541524734182,0.08006608069890626
GunPointMaleVersusFemale,0.13526435483579066,-0.00015988242388605996,0.3376071382289796,0.7055384561425403,0.6345887414460423
GunPointOldVersusYoung,0.2368887489433837,0.17906135423542519,0.06334419983155433,0.01986738598354898,0.05253058909553078
Ham,0.0221844100499206,0.04553951065088828,0.06585136085329062,0.0162407899772287,0.04583643926154646
Haptics,0.04304397214845044,0.05908090928189452,0.04751907671169484,0.05746025407630734,0.07517883148511909
Herring,0.009836542671004499,0.004978790492844901,0.0073378427185089605,0.006550324227122399,-0.00249741196415036
HouseTwenty,0.23939458916868492,0.08911015844742469,0.09430059349086799,0.5578984993497196,0.03086543755922318
InlineSkate,0.03141517163608676,0.01253217705527392,0.0364311739505375,0.03614101686116562,0.044574122255888436
InsectEPGRegularTrain,0.21066947798983407,0.19011464715711066,0.27878961808838615,0.32029619994432024,0.34015931095125024
InsectEPGSmallTrain,0.2002358724424918,0.12574937081758394,0.22353780323647002,0.3023149986007434,0.35845056189463936
InsectWingbeatSound,0.21015382864147023,0.3301917914322396,0.19461522848478877,0.07799462715565512,0.22801235530440697
ItalyPowerDemand,0.0036096055919061206,0.0003042317856477,-0.0003354711535391,0.00388446690213388,0.004393934176657779
LargeKitchenAppliances,0.03244747587606264,0.0166857350892984,0.03671291195206794,0.12858238693704763,0.18213176882851256
Lightning2,0.020754031600817697,0.01623285043054078,0.037611796476746576,0.03715952518264146,0.10167219553943854
Lightning7,0.35887125581503315,0.26161711131275606,0.3514422738331333,0.33961901966144864,0.3874974157640968
Mallat,0.7570478410115876,0.7875249969574951,0.7816378387420384,0.8060659251394581,0.7869573548892771
Meat,0.5565758299875044,0.42689796735410923,0.6351273936906507,0.5189516641257106,0.558645945763871
MedicalImages,0.0965085380566871,0.0593715842680258,0.07628372445830776,0.10975542987808673,0.0709893955025704
MelbournePedestrian,0.2825582327129672,0.3578077662501071,0.33367236427409325,0.2971095376623232,0.2829529701416452
MiddlePhalanxOutlineAgeGroup,0.31475068218802965,0.3527251749648677,0.31580432062738717,0.35150735959156865,0.32789180656119427
MiddlePhalanxOutlineCorrect,-0.0051345442203823,-0.0035521567348165,-0.0027890608206484597,-0.00507092997325894,-0.0002822535027919599
MiddlePhalanxTW,0.23805797646664387,0.258362826856139,0.2455984365495863,0.24510297141399412,0.24633410599206237
MoteStrain,0.2585707023926708,0.3867853894646938,0.4083701572193033,0.019814877063116642,0.21805305580563733
NonInvasiveFetalECGThorax1,0.410888541762065,0.4310778913136769,0.4645115508421559,0.41552386224293014,0.28438963232998127
NonInvasiveFetalECGThorax2,0.4961992920095629,0.5129961916268724,0.594636105280394,0.4945107770181482,0.41934475139413896
OSULeaf,0.12604006558148287,0.14165944849236814,0.12764420138841706,0.16162473360478505,0.26976172337443066
OliveOil,0.40547854266685446,0.4671625937256182,0.487589267952271,0.6595102653686122,0.4839343039875196
PLAID,0.2555423501464654,0.12988389133445824,0.23554966428160387,0.23311917283616462,0.1362276600872727
PhalangesOutlinesCorrect,0.0083100427751582,0.010542697394235,0.0095609150933763,0.0044566231159579,0.01216056119563188
Phoneme,0.07156490803391488,0.01634692034574206,0.06831188106272618,0.0738469296054432,0.04393485005843124
PickupGestureWiimoteZ,0.3645224112470734,0.28954180545966507,0.37098532796363326,0.3820904134053549,0.36979212669795747
PigAirwayPressure,0.029378091407809104,0.02217996131388298,0.0320612327247258,0.03589155032404144,0.05319080085076232
PigArtPressure,0.11293806710651688,0.09528808004668911,0.2059806262322618,0.11668718622684855,0.27137877296959934
PigCVP,0.03331364821221796,0.006927334422546399,0.04782308608506292,0.03591254443386252,0.25947587519985005
Plane,0.8430531379521952,0.6953896773662075,0.8883006149989165,0.8884865656815357,0.6968817556691179
PowerCons,0.06620387949791595,0.06173063628050888,0.11466353960941458,0.04381776801494538,0.20231797446309
ProximalPhalanxOutlineAgeGroup,0.39122151753451356,0.38796214115878047,0.3905408958193187,0.39216012950181967,0.3868782475069038
ProximalPhalanxOutlineCorrect,0.053444171638013516,0.06645328771602418,0.06622705952400179,0.0556927949530744,0.06323320675006794
ProximalPhalanxTW,0.4215265931706577,0.4017177313364989,0.38537244100115453,0.449839204806032,0.4019243073029816
RefrigerationDevices,0.0819906292660336,-0.0004928336329439,0.02106972713680176,0.058337099903784995,0.013182930191103462
Rock,0.18134777820481968,0.26724238483151935,0.16953154755207783,0.1254029583532486,0.23622324733837602
ScreenType,0.02127572989408024,0.01841249550717874,0.014035725948656921,0.01955558452963032,0.01312841789270532
SemgHandGenderCh2,0.1091025068503908,0.0943983303351971,0.0804572235165314,0.1233489545157181,0.09816371325924883
SemgHandMovementCh2,0.10368218862617615,0.12613251015459773,0.11641167139697343,0.1012331472996193,0.12506854062648803
SemgHandSubjectCh2,0.20614852206906145,0.20552431525273435,0.1797505372248888,0.19316206423497947,0.20659405268968287
ShakeGestureWiimoteZ,0.5239844343012476,0.3362712492939753,0.5699515892129724,0.5463293244885088,0.525367880711052
ShapeletSim,0.012643561254258678,-0.0034812075221039795,0.00758657456490604,-0.0018132644241407002,0.4726826816946444
ShapesAll,0.39491508483592186,0.3642308102279322,0.3962490500072856,0.37131404843509475,0.42131155377226576
SmallKitchenAppliances,0.11579558391147157,0.008867759941751499,0.09818599505737934,0.23014142581582825,0.01410942217924586
SmoothSubspace,0.36685341901335733,0.31010572704500505,0.2748731985846655,0.20891437697193682,0.14902415024212032
SonyAIBORobotSurface1,0.626744576861351,0.1848862209911101,0.7688165023338474,0.5467327236606458,0.18054366276248035
SonyAIBORobotSurface2,0.2907151322569337,0.3209579166260713,0.29611249802386397,0.21624986293920703,0.21421659053623626
Strawberry,-0.03218920906567082,-0.0180875099233662,-0.0177040995708359,-0.017119806722239818,-0.0060918751985160205
SwedishLeaf,0.3561505979163258,0.28658083067543444,0.38211502768726424,0.3554893177940988,0.2963301195604342
Symbols,0.7078610480863159,0.6735200201205729,0.6862722511659867,0.6963339073722477,0.6561450483730938
SyntheticControl,0.7266383029023843,0.6155277563099034,0.7239983528482952,0.7373934887739565,0.5983697452631126
ToeSegmentation1,-0.00250961479084396,-0.0029638300271567198,0.0028509347262182403,0.01541518870471174,0.0031176247678918203
ToeSegmentation2,-0.00044431549431916137,-3.167062360892002e-05,0.0027682028719512998,0.06515852362139896,0.29639887032496876
Trace,0.41550522204865253,0.367705638600789,0.4413403029623221,0.5019285568693114,0.4365669539720692
TwoLeadECG,0.10257466923334417,0.00412613327095796,0.12160540424176902,0.09880030292956622,0.06901182475693879
TwoPatterns,0.08699995613882085,0.015857597463620136,0.11221185480986548,0.7752862037092504,0.1782850881376569
UMD,0.1902637548651153,0.14125787073063073,0.1941538096279034,0.3257002061427136,0.15987090210916127
UWaveGestureLibraryX,0.3655702788108973,0.3335618950446689,0.3992217697150208,0.37302810381618234,0.36440360283071555
UWaveGestureLibraryY,0.3339770260682412,0.3173373857306697,0.3248516504099668,0.2787967295955555,0.262231657909964
UWaveGestureLibraryZ,0.32964466270353193,0.3118336439864542,0.36765765240898957,0.3181008828845493,0.3386933060884056
Wafer,-0.0003319313956516,0.0036051616666676,-0.0003319313956516,-0.004383356416912763,0.025591982273151258
Wine,-0.003985168188433081,-0.0057755745831078,-0.005796540045263821,-0.00492715274941758,-0.005058730060946761
WordSynonyms,0.2812557886358585,0.15353898831916793,0.3115094979272149,0.25959644313792063,0.2108229780731091
Worms,0.05013656433807625,0.01567904296276636,0.10713482314952079,0.08619185897716869,0.04587011788851318
WormsTwoClass,0.00289858486465338,-0.00139968100300694,-0.00424411026583242,0.012226810170770342,0.00421679447478032
Yoga,0.0008596305332832881,-0.00102938000719604,0.0041312253455827,0.021158845868767217,0.00033328783316425995
